,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
2,54,54,2.0,1,64,6,47737.0,40,0.0,59013,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,2617.0
3,60,60,0.0,0,38,6,29399.0,44,0.0,34500,62692,0,0,24,2.0,0,1,0,0,0,0,0,1024,57392.0
4,60,60,0.0,0,54,6,13619.0,44,0.0,34500,21479,0,0,24,2.0,0,1,0,0,0,0,0,1024,33070.0
5,54,54,2.0,1,64,6,47737.0,40,0.0,62692,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,64473.0
6,54,54,2.0,1,64,6,47737.0,40,0.0,21479,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,40151.0
7,60,60,0.0,0,56,6,32429.0,44,0.0,34500,22520,0,0,24,2.0,0,1,0,0,0,0,0,1024,32029.0
8,60,60,0.0,0,53,6,39458.0,44,0.0,34500,42447,0,0,24,2.0,0,1,0,0,0,0,0,1024,12102.0
9,54,54,2.0,1,64,6,47737.0,40,0.0,22520,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,39110.0
10,54,54,2.0,1,64,6,47737.0,40,0.0,42447,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,19183.0
11,60,60,0.0,0,56,6,1752.0,44,0.0,34500,64322,0,0,24,2.0,0,1,0,0,0,0,0,1024,55762.0
12,60,60,0.0,0,37,6,8257.0,44,0.0,34500,59833,0,0,24,2.0,0,1,0,0,0,0,0,1024,60251.0
13,60,60,0.0,0,47,6,27351.0,44,0.0,34500,30958,0,0,24,2.0,0,1,0,0,0,0,0,1024,23591.0
14,60,60,0.0,0,42,6,62408.0,44,0.0,34500,36661,0,0,24,2.0,0,1,0,0,0,0,0,1024,17888.0
15,54,54,2.0,1,64,6,47737.0,40,0.0,64322,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,62843.0
16,54,54,2.0,1,64,6,47737.0,40,0.0,59833,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,1797.0
17,54,54,2.0,1,64,6,47737.0,40,0.0,30958,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,30672.0
18,54,54,2.0,1,64,6,47737.0,40,0.0,36661,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,24969.0
19,60,60,0.0,0,37,6,10742.0,44,0.0,34500,56708,0,0,24,2.0,0,1,0,0,0,0,0,1024,63376.0
